trades,win_rate,total_return,final_balance,max_dd,min_balance,leverage,risk_per_trade_pct,rr_ratio,slope_bars,reverse_confirm_bars,rr_exit_ratio,sl_ema_pct,use_fast_ema,rsi_filter,atr_sl_mult,m15_trend_filter,adx_min,entry_confirm_bar,score
548,47.08029197080292,757.5801312781314,8575.801312781314,43.7697025309994,909.9866932771963,25,0.003,1.5,3,2,0.3,0.003,True,True,0.0,True,25.0,False,16.92171465185788
548,47.08029197080292,757.5801312781314,8575.801312781314,43.7697025309994,909.9866932771963,25,0.003,1.5,3,2,0.5,0.003,True,True,0.0,True,25.0,False,16.92171465185788
548,47.08029197080292,757.5801312781314,8575.801312781314,43.7697025309994,909.9866932771963,25,0.003,1.5,3,3,0.3,0.003,True,True,0.0,True,25.0,False,16.92171465185788
548,47.08029197080292,757.5801312781314,8575.801312781314,43.7697025309994,909.9866932771963,25,0.003,1.5,3,3,0.5,0.003,True,True,0.0,True,25.0,False,16.92171465185788
556,47.482014388489205,627.9988488831673,7279.988488831673,36.60920509438499,928.5684003428473,20,0.003,1.5,3,2,0.3,0.003,True,True,0.0,True,25.0,False,16.69800909929167
556,47.482014388489205,627.9988488831673,7279.988488831673,36.60920509438499,928.5684003428473,20,0.003,1.5,3,2,0.5,0.003,True,True,0.0,True,25.0,False,16.69800909929167
556,47.482014388489205,627.9988488831673,7279.988488831673,36.60920509438499,928.5684003428473,20,0.003,1.5,3,3,0.3,0.003,True,True,0.0,True,25.0,False,16.69800909929167
556,47.482014388489205,627.9988488831673,7279.988488831673,36.60920509438499,928.5684003428473,20,0.003,1.5,3,3,0.5,0.003,True,True,0.0,True,25.0,False,16.69800909929167
545,47.1559633027523,741.7696510734653,8417.696510734653,43.80084206161261,909.9866932771963,25,0.003,1.5,3,2,0.3,0.005,True,True,0.0,True,25.0,False,16.55704707633268
545,47.1559633027523,741.7696510734653,8417.696510734653,43.80084206161261,909.9866932771963,25,0.003,1.5,3,2,0.5,0.005,True,True,0.0,True,25.0,False,16.55704707633268
545,47.1559633027523,741.7696510734653,8417.696510734653,43.80084206161261,909.9866932771963,25,0.003,1.5,3,3,0.3,0.005,True,True,0.0,True,25.0,False,16.55704707633268
545,47.1559633027523,741.7696510734653,8417.696510734653,43.80084206161261,909.9866932771963,25,0.003,1.5,3,3,0.5,0.005,True,True,0.0,True,25.0,False,16.55704707633268
544,47.05882352941176,871.6138432924588,9716.138432924588,51.89507563554575,899.2750619082068,25,0.005,1.5,3,2,0.3,0.005,True,True,0.0,True,25.0,False,16.47816612075567
544,47.05882352941176,871.6138432924588,9716.138432924588,51.89507563554575,899.2750619082068,25,0.005,1.5,3,2,0.5,0.005,True,True,0.0,True,25.0,False,16.47816612075567
544,47.05882352941176,871.6138432924588,9716.138432924588,51.89507563554575,899.2750619082068,25,0.005,1.5,3,3,0.3,0.005,True,True,0.0,True,25.0,False,16.47816612075567
544,47.05882352941176,871.6138432924588,9716.138432924588,51.89507563554575,899.2750619082068,25,0.005,1.5,3,3,0.5,0.005,True,True,0.0,True,25.0,False,16.47816612075567
553,47.55877034358047,619.5175811732389,7195.175811732389,36.609205094385004,928.5684003428473,20,0.003,1.5,3,3,0.5,0.005,True,True,0.0,True,25.0,False,16.472498677344603
553,47.55877034358047,619.5175811732389,7195.175811732389,36.609205094385004,928.5684003428473,20,0.003,1.5,3,2,0.3,0.005,True,True,0.0,True,25.0,False,16.472498677344603
553,47.55877034358047,619.5175811732389,7195.175811732389,36.609205094385004,928.5684003428473,20,0.003,1.5,3,2,0.5,0.005,True,True,0.0,True,25.0,False,16.472498677344603
553,47.55877034358047,619.5175811732389,7195.175811732389,36.609205094385004,928.5684003428473,20,0.003,1.5,3,3,0.3,0.005,True,True,0.0,True,25.0,False,16.472498677344603
